SIMFIT RESULTS
==============

Dataset : /opt/topspin3.5pl5/data/olatomiwabifarin/BR1_BIF_5_noesypr1d/53/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 485 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    5.852e-01     5.577e-01  
T     =       4.744s       14.775s  

RSS   =    1.718e-03
SD    =    7.567e-03

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     9.952e-01   -4.838e-03
    2       2.000s     8.747e-01     8.710e-01   -3.763e-03
    3       3.000s     7.623e-01     7.661e-01    3.868e-03
    4       4.000s     6.685e-01     6.773e-01    8.755e-03
    5       5.000s     5.904e-01     6.015e-01    1.119e-02
    6       6.000s     5.279e-01     5.368e-01    8.827e-03
    7       7.000s     4.807e-01     4.810e-01    3.859e-04
    8       8.000s     4.421e-01     4.329e-01   -9.251e-03
    9       9.000s     4.051e-01     3.911e-01   -1.406e-02
   10      10.000s     3.680e-01     3.545e-01   -1.348e-02
   11      11.000s     3.331e-01     3.225e-01   -1.059e-02
   12      12.000s     3.011e-01     2.942e-01   -6.905e-03
   13      13.000s     2.715e-01     2.691e-01   -2.368e-03
   14      14.000s     2.448e-01     2.468e-01    2.046e-03
   15      15.000s     2.219e-01     2.268e-01    4.930e-03
   16      16.000s     2.024e-01     2.089e-01    6.492e-03
   17      17.000s     1.850e-01     1.927e-01    7.704e-03
   18      18.000s     1.697e-01     1.781e-01    8.428e-03
   19      19.000s     1.567e-01     1.648e-01    8.114e-03
   20      20.000s     1.454e-01     1.527e-01    7.269e-03
   21      21.000s     1.350e-01     1.416e-01    6.629e-03
   22      22.000s     1.257e-01     1.315e-01    5.785e-03
   23      23.000s     1.181e-01     1.222e-01    4.078e-03
   24      24.000s     1.116e-01     1.136e-01    1.952e-03
   25      25.000s     1.056e-01     1.057e-01    1.200e-04
   26      26.000s     1.002e-01     9.841e-02   -1.751e-03
   27      27.000s     9.597e-02     9.166e-02   -4.308e-03
   28      28.000s     9.267e-02     8.542e-02   -7.251e-03
   29      29.000s     8.961e-02     7.963e-02   -9.983e-03
   30      30.000s     8.704e-02     7.426e-02   -1.278e-02

============================================================

