SIMFIT RESULTS
==============

Dataset : /opt/topspin3.5pl5/data/olatomiwabifarin/BR1_BIF_5_noesypr1d/156/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 10000 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.225e+00    -5.726e-02  
T     =       4.430s        6.308s  

RSS   =    3.605e-02
SD    =    3.466e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     9.283e-01   -7.169e-02
    2       2.000s     8.085e-01     7.380e-01   -7.047e-02
    3       3.000s     6.256e-01     5.866e-01   -3.900e-02
    4       4.000s     4.816e-01     4.661e-01   -1.555e-02
    5       5.000s     3.759e-01     3.702e-01   -5.641e-03
    6       6.000s     2.974e-01     2.940e-01   -3.462e-03
    7       7.000s     2.402e-01     2.334e-01   -6.803e-03
    8       8.000s     1.999e-01     1.852e-01   -1.479e-02
    9       9.000s     1.706e-01     1.469e-01   -2.375e-02
   10      10.000s     1.469e-01     1.164e-01   -3.053e-02
   11      11.000s     1.277e-01     9.224e-02   -3.546e-02
   12      12.000s     1.126e-01     7.305e-02   -3.957e-02
   13      13.000s     9.981e-02     5.781e-02   -4.200e-02
   14      14.000s     8.782e-02     4.573e-02   -4.209e-02
   15      15.000s     7.735e-02     3.614e-02   -4.121e-02
   16      16.000s     6.924e-02     2.855e-02   -4.069e-02
   17      17.000s     6.259e-02     2.253e-02   -4.006e-02
   18      18.000s     5.646e-02     1.776e-02   -3.870e-02
   19      19.000s     5.140e-02     1.399e-02   -3.741e-02
   20      20.000s     4.799e-02     1.101e-02   -3.699e-02
   21      21.000s     4.548e-02     8.649e-03   -3.683e-02
   22      22.000s     4.301e-02     6.787e-03   -3.623e-02
   23      23.000s     4.099e-02     5.319e-03   -3.567e-02
   24      24.000s     3.999e-02     4.161e-03   -3.583e-02
   25      25.000s     3.959e-02     3.250e-03   -3.634e-02
   26      26.000s     3.921e-02     2.533e-03   -3.668e-02
   27      27.000s     3.917e-02     1.969e-03   -3.720e-02
   28      28.000s     3.982e-02     1.527e-03   -3.829e-02
   29      29.000s     4.068e-02     1.181e-03   -3.950e-02
   30      30.000s     4.117e-02     9.106e-04   -4.026e-02

============================================================

