SIMFIT RESULTS
==============

Dataset : /opt/topspin3.5pl5/data/olatomiwabifarin/BR1_BIF_5_noesypr1d/173/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 10000 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    2.673e+02    -2.661e+02  
T     =      11.624s       11.644s  

RSS   =    4.403e-02
SD    =    3.831e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.083e+00    8.309e-02
    2       2.000s     9.291e-01     9.621e-01    3.304e-02
    3       3.000s     8.705e-01     8.537e-01   -1.679e-02
    4       4.000s     8.121e-01     7.567e-01   -5.542e-02
    5       5.000s     7.440e-01     6.698e-01   -7.422e-02
    6       6.000s     6.636e-01     5.921e-01   -7.146e-02
    7       7.000s     5.751e-01     5.227e-01   -5.239e-02
    8       8.000s     4.870e-01     4.607e-01   -2.636e-02
    9       9.000s     4.069e-01     4.053e-01   -1.578e-03
   10      10.000s     3.378e-01     3.560e-01    1.817e-02
   11      11.000s     2.796e-01     3.120e-01    3.238e-02
   12      12.000s     2.317e-01     2.729e-01    4.118e-02
   13      13.000s     1.932e-01     2.381e-01    4.488e-02
   14      14.000s     1.625e-01     2.071e-01    4.462e-02
   15      15.000s     1.379e-01     1.797e-01    4.174e-02
   16      16.000s     1.185e-01     1.553e-01    3.688e-02
   17      17.000s     1.033e-01     1.338e-01    3.049e-02
   18      18.000s     9.115e-02     1.148e-01    2.360e-02
   19      19.000s     8.088e-02     9.793e-02    1.706e-02
   20      20.000s     7.240e-02     8.311e-02    1.070e-02
   21      21.000s     6.591e-02     7.006e-02    4.152e-03
   22      22.000s     6.081e-02     5.860e-02   -2.215e-03
   23      23.000s     5.635e-02     4.855e-02   -7.803e-03
   24      24.000s     5.258e-02     3.975e-02   -1.283e-02
   25      25.000s     4.999e-02     3.208e-02   -1.791e-02
   26      26.000s     4.854e-02     2.540e-02   -2.314e-02
   27      27.000s     4.790e-02     1.961e-02   -2.829e-02
   28      28.000s     4.812e-02     1.459e-02   -3.353e-02
   29      29.000s     4.936e-02     1.027e-02   -3.909e-02
   30      30.000s     5.122e-02     6.565e-03   -4.465e-02

============================================================

