SIMFIT RESULTS
==============

Dataset : /opt/topspin3.5pl5/data/olatomiwabifarin/BR1_BIF_5_noesypr1d/320/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 7775 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.694e+02    -1.682e+02  
T     =      11.874s       11.903s  

RSS   =    4.833e-02
SD    =    4.014e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.080e+00    7.953e-02
    2       2.000s     9.194e-01     9.629e-01    4.348e-02
    3       3.000s     8.683e-01     8.581e-01   -1.018e-02
    4       4.000s     8.230e-01     7.639e-01   -5.903e-02
    5       5.000s     7.640e-01     6.794e-01   -8.465e-02
    6       6.000s     6.867e-01     6.035e-01   -8.325e-02
    7       7.000s     5.954e-01     5.354e-01   -5.999e-02
    8       8.000s     4.997e-01     4.744e-01   -2.524e-02
    9       9.000s     4.122e-01     4.198e-01    7.572e-03
   10      10.000s     3.417e-01     3.708e-01    2.919e-02
   11      11.000s     2.872e-01     3.271e-01    3.989e-02
   12      12.000s     2.432e-01     2.880e-01    4.473e-02
   13      13.000s     2.072e-01     2.530e-01    4.583e-02
   14      14.000s     1.791e-01     2.219e-01    4.280e-02
   15      15.000s     1.568e-01     1.941e-01    3.727e-02
   16      16.000s     1.373e-01     1.693e-01    3.204e-02
   17      17.000s     1.201e-01     1.473e-01    2.722e-02
   18      18.000s     1.066e-01     1.277e-01    2.119e-02
   19      19.000s     9.605e-02     1.104e-01    1.433e-02
   20      20.000s     8.648e-02     9.498e-02    8.500e-03
   21      21.000s     7.766e-02     8.135e-02    3.691e-03
   22      22.000s     7.089e-02     6.930e-02   -1.594e-03
   23      23.000s     6.600e-02     5.867e-02   -7.335e-03
   24      24.000s     6.152e-02     4.929e-02   -1.223e-02
   25      25.000s     5.742e-02     4.105e-02   -1.637e-02
   26      26.000s     5.495e-02     3.382e-02   -2.113e-02
   27      27.000s     5.421e-02     2.749e-02   -2.672e-02
   28      28.000s     5.407e-02     2.196e-02   -3.211e-02
   29      29.000s     5.430e-02     1.714e-02   -3.715e-02
   30      30.000s     5.556e-02     1.296e-02   -4.259e-02

============================================================

